sample	population	superpopulation	analysis_group	description
HG00097	GBR	EUR	HPRC-Rest	British from England and Scotland
HG00099	GBR	EUR	HPRC-Rest	British from England and Scotland
HG00126	GBR	EUR	HPRC-Rest	British from England and Scotland
HG00128	GBR	EUR	HPRC-Rest	British from England and Scotland
HG00133	GBR	EUR	HPRC-Rest	British from England and Scotland
HG00140	GBR	EUR	HPRC-Rest	British from England and Scotland
HG00146	GBR	EUR	HPRC-Rest	British from England and Scotland
hg002	AJ	EUR(AJ)	HPRC-Jewish	Ashkenazi Jewish, GIAB son (NA24385)
HG00232	GBR	EUR	HPRC-Rest	British from England and Scotland
HG00235	GBR	EUR	HPRC-Rest	British from England and Scotland
HG00253	GBR	EUR	HPRC-Rest	British from England and Scotland
HG00272	FIN	EUR	HPRC-Rest	Finnish in Finland
HG00280	FIN	EUR	HPRC-Rest	Finnish in Finland
HG00290	FIN	EUR	HPRC-Rest	Finnish in Finland
HG00320	FIN	EUR	HPRC-Rest	Finnish in Finland
HG00321	FIN	EUR	HPRC-Rest	Finnish in Finland
HG00323	FIN	EUR	HPRC-Rest	Finnish in Finland
HG00329	FIN	EUR	HPRC-Rest	Finnish in Finland
HG00344	FIN	EUR	HPRC-Rest	Finnish in Finland
HG00350	FIN	EUR	HPRC-Rest	Finnish in Finland
HG00408	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00423	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00438	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG005	CHS-GIAB	EAS	HPRC-EastAsian	Han Chinese, GIAB son (NA24631)
HG00544	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00558	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00597	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00609	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00621	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00639	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG00642	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG00658	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00673	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00706	CHS	EAS	HPRC-EastAsian	Han Chinese South, China
HG00733	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG00735	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG00738	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG00741	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01071	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01074	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01081	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01099	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01106	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01109	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01123	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01150	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01167	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01175	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01192	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01243	PUR	AMR	HPRC-Rest	Puerto Rican in Puerto Rico
HG01252	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01255	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01258	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01261	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01346	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01358	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01361	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01433	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01496	CLM	AMR	HPRC-Rest	Colombian in Medellin, Colombia
HG01530	IBS	EUR	HPRC-Rest	Iberian Populations in Spain
HG01784	IBS	EUR	HPRC-Rest	Iberian Populations in Spain
HG01786	IBS	EUR	HPRC-Rest	Iberian Populations in Spain
HG01884	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG01891	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG01928	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG01934	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG01940	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG01943	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG01952	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG01960	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG01969	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG01975	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG01978	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG01981	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG01993	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG02004	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG02015	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02027	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02040	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02055	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG02056	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02071	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02074	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02080	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02083	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02109	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG02129	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02132	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02135	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02145	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG02148	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG02155	CDX	EAS	HPRC-EastAsian	Chinese Dai in Xishuangbanna
HG02165	CDX	EAS	HPRC-EastAsian	Chinese Dai in Xishuangbanna
HG02178	CDX	EAS	HPRC-EastAsian	Chinese Dai in Xishuangbanna
HG02257	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG02258	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG02273	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG02280	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG02293	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG02300	PEL	AMR	HPRC-Rest	Peruvian in Lima, Peru
HG02391	CDX	EAS	HPRC-EastAsian	Chinese Dai in Xishuangbanna
HG02392	CDX	EAS	HPRC-EastAsian	Chinese Dai in Xishuangbanna
HG02451	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG02486	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG02514	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02523	KHV	EAS	HPRC-EastAsian	Kinh in Ho Chi Minh City, Vietnam
HG02559	ACB	AFR	HPRC-Rest	African Caribbean in Barbados
HG02572	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02583	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02602	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG02615	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02622	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
