name	cohort	sample	haplotype	contig	start	end	strand	length
apr-f#1#classII	APR	apr-f	1	apr-f#1#h1tg000013l:28359072-33538103	4017721	4572310	+	554590
apr-f#2#classII	APR	apr-f	2	apr-f#2#h2tg000007l:28398267-33550055	3990849	4544859	+	554011
apr-m#1#classII	APR	apr-m	1	apr-m#1#h1tg000024l:27029616-32153356_rc	3988191	4517488	+	529298
apr-m#2#classII	APR	apr-m	2	apr-m#2#h2tg000013l:28339383-33475735	4007859	4530252	+	522394
apr-s#1#classII	APR	apr-s	1	apr-s#1#h1tg000017l:28345655-33481940	4007793	4530187	+	522395
apr-s#2#classII	APR	apr-s	2	apr-s#2#h2tg000009l:138522552-143696180_rc	4012398	4566983	+	554586
apr001#1#classII	APR	apr001	1	apr001#1#h1tg000015l:28434817-33593090	3997097	4552042	+	554946
apr001#2#classII	APR	apr001	2	apr001#2#h2tg000018l:28338056-33431257	3963521	4487142	+	523622
apr002#1#classII	APR	apr002	1	apr002#1#h1tg000010l:28385462-33644194	4003138	4651736	+	648599
apr002#2#classII	APR	apr002	2	apr002#2#h2tg000007l:138255095-143403132_rc	3998927	4541361	+	542435
apr003#1#classII	APR	apr003	1	apr003#1#h1tg000021l:28362599-33558558	3951112	4589156	+	638045
apr003#2#classII	APR	apr003	2	apr003#2#h2tg000014l:28401981-33557950	3994612	4550270	+	555659
apr004#1#classII	APR	apr004	1	apr004#1#h1tg000015l:28405351-33543332	3977795	4531559	+	553765
apr004#2#classII	APR	apr004	2	apr004#2#h2tg000008l:138190707-143268823_rc	3947790	4471412	+	523623
apr005#1#classII	APR	apr005	1	apr005#1#h1tg000024l:25685419-30792368_rc	3977164	4500783	+	523620
apr005#2#classII	APR	apr005	2	apr005#2#h2tg000025l:27505079-32631962_rc	3997098	4520717	+	523620
apr006#1#classII	APR	apr006	1	apr006#1#h1tg000006l:28429612-33564591	4004392	4528000	+	523609
apr006#2#classII	APR	apr006	2	apr006#2#h2tg000002l:27458750-32609940_rc	3990140	4545009	+	554870
apr007#1#classII	APR	apr007	1	apr007#1#h1tg000009l:141020280-146179718_rc	3999329	4553090	+	553762
apr007#2#classII	APR	apr007	2	apr007#2#h2tg000002l:137323480-142462680_rc	3977908	4531676	+	553769
apr008#1#classII	APR	apr008	1	apr008#1#h1tg000006l:138382777-143548816_rc	4021777	4560041	+	538265
apr008#2#classII	APR	apr008	2	apr008#2#h2tg000008l:28356191-33484508	3998181	4521814	+	523634
apr009#1#classII	APR	apr009	1	apr009#1#h1tg000016l:28450181-33709541	4001683	4649803	+	648121
apr009#2#classII	APR	apr009	2	apr009#2#h2tg000041l:28097238-33212102_rc	3953522	4508487	+	554966
apr010#1#classII	APR	apr010	1	apr010#1#h1tg000018l:28446120-33705764	4005158	4653290	+	648133
apr010#2#classII	APR	apr010	2	apr010#2#h2tg000013l:28422940-33602432	4015771	4569573	+	553803
