candidate_id	gene	category	complete_cds	exact_current_protein_match	assembly_donors	donors_with_all_distinguishing_snps_locally_supported	markers_tested	markers_mhc_unique_and_supported	nearest_reference_protein_edit_distance	limitations
HLA-PROT-C-5948b39ec166038b	HLA-C	plausible_novel_allele_candidate	1	0	1	NA18620	1	1	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-ad48d0a393823ed2	HLA-DRB1	plausible_novel_allele_candidate	1	0	1	HG02976	3	3	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-ba0192aed98e11e3	HLA-DRB1	plausible_novel_allele_candidate	1	0	1	NA19159	1	1	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-a23ab9e5e0fd3b94	HLA-DRB1	unresolved	1	0	3		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB4-184d6a423c2be2c0	HLA-DRB4	unresolved	1	0	2		0	0	3	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-A-0a43cb72b419702c	HLA-A	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-A-3bdb0bb5dfb2bdf4	HLA-A	unresolved	1	0	1		0	0	3	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-A-631f4bfc55f5c534	HLA-A	unresolved	1	0	1		0	0	10	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-A-9bb712374e9c8728	HLA-A	unresolved	1	0	1		0	0	2	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-A-a32dad94a625871a	HLA-A	unresolved	1	0	1		0	0	2	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
