donor	gene	feature	hprc_entries	jasapage_entries	hprc_signature	jasapage_signature	unordered_match	interpretation
NA18940	HLA-A	gene_sha256	2	2	b97c51f34a8a9f4982dd5eb1f4230b9807f455ba1caf338e80f8bdf65c677f9f;b97c51f34a8a9f4982dd5eb1f4230b9807f455ba1caf338e80f8bdf65c677f9f	b97c51f34a8a9f4982dd5eb1f4230b9807f455ba1caf338e80f8bdf65c677f9f;b97c51f34a8a9f4982dd5eb1f4230b9807f455ba1caf338e80f8bdf65c677f9f	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-A	cds_sha256	2	2	72592d3f49e03a3d6f390cf4368512ad38f003c50675df48acb2fca426dfbe0a;72592d3f49e03a3d6f390cf4368512ad38f003c50675df48acb2fca426dfbe0a	72592d3f49e03a3d6f390cf4368512ad38f003c50675df48acb2fca426dfbe0a;72592d3f49e03a3d6f390cf4368512ad38f003c50675df48acb2fca426dfbe0a	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-B	gene_sha256	2	2	211618392486acd267830dfd4def9b863a3133befdcec6ffe311c9616a330f86;67cafd8dbce188d0495cbe13ff5f7e37a39890a6efecdf1757262af318ee24fa	211618392486acd267830dfd4def9b863a3133befdcec6ffe311c9616a330f86;67cafd8dbce188d0495cbe13ff5f7e37a39890a6efecdf1757262af318ee24fa	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-B	cds_sha256	2	2	9fe8c844f5ef999265f58fcf1d3091157aec05884ea8c6b8dd2295fad35d1733;cbdb67f65e64f2f41abcc5de908968df2074174bcf033ff3f563977cdbced531	9fe8c844f5ef999265f58fcf1d3091157aec05884ea8c6b8dd2295fad35d1733;cbdb67f65e64f2f41abcc5de908968df2074174bcf033ff3f563977cdbced531	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-C	gene_sha256	2	2	10880f3c19e3c274abd62be1bd64b77ed5f7c3bd498e08d026c7e9d61d9066e9;277f04923b17fd106093b89644bf74fdccc5308d8b8e679a3ade9eda59b18f7b	10880f3c19e3c274abd62be1bd64b77ed5f7c3bd498e08d026c7e9d61d9066e9;277f04923b17fd106093b89644bf74fdccc5308d8b8e679a3ade9eda59b18f7b	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-C	cds_sha256	2	2	4ebf37142a43331f63e79351fbff14e94abe86b4fc49827ac95807f710b0b5bd;840b574535325f084d243ef3d4f91f54800c42624fd046927708509515d422db	4ebf37142a43331f63e79351fbff14e94abe86b4fc49827ac95807f710b0b5bd;840b574535325f084d243ef3d4f91f54800c42624fd046927708509515d422db	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DPA1	gene_sha256	2	2	c21fa50fcdb71551772a814aab50d75e10e1432c78dbb7df74a263a97464aeb8;c2e94a215a367c02bfdbc9244e7d29531cbe746963bbd9d6c17ef53cb0a84bb6	c21fa50fcdb71551772a814aab50d75e10e1432c78dbb7df74a263a97464aeb8;c2e94a215a367c02bfdbc9244e7d29531cbe746963bbd9d6c17ef53cb0a84bb6	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DPA1	cds_sha256	2	2	cd4b4a8379521cde40d22bcc3332de97483af0ab8ed70ac983159d1805c26d9d;cd4b4a8379521cde40d22bcc3332de97483af0ab8ed70ac983159d1805c26d9d	cd4b4a8379521cde40d22bcc3332de97483af0ab8ed70ac983159d1805c26d9d;cd4b4a8379521cde40d22bcc3332de97483af0ab8ed70ac983159d1805c26d9d	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DPB1	gene_sha256	2	2	5cc1f3714368a76761e6ec039567538062e8c8a0138b692b02465602e67ee62e;70973a44e0bd55b03291b556c02a2d3c746311ca8fd123bdd0d74672d1412fef	5cc1f3714368a76761e6ec039567538062e8c8a0138b692b02465602e67ee62e;70973a44e0bd55b03291b556c02a2d3c746311ca8fd123bdd0d74672d1412fef	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DPB1	cds_sha256	2	2	56a8099990f049426b85114a4b73649da45136b9447548676da3050edeaaaa5a;f30464a91b665761c38da5026c2d2c80858662c09b96d78f3274f68199c674a0	56a8099990f049426b85114a4b73649da45136b9447548676da3050edeaaaa5a;f30464a91b665761c38da5026c2d2c80858662c09b96d78f3274f68199c674a0	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DQA1	gene_sha256	2	2	0f103bb7233d535935eec921c489bbcd9229b3730a4386dc4d00335302005251;1379fc1f5a3478ce85e3415fa7384673e88fbc3e2081363b447489c2df3bf507	0f103bb7233d535935eec921c489bbcd9229b3730a4386dc4d00335302005251;1379fc1f5a3478ce85e3415fa7384673e88fbc3e2081363b447489c2df3bf507	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DQA1	cds_sha256	2	2	90c9c3a50684523bf8b75dea2974ffeb6b2dc9616517164c2905e1137b3ec843;ef42119adc4fa8ebebfabc2dcc50a44db2d7a71ce515bd218c42ef3865230290	90c9c3a50684523bf8b75dea2974ffeb6b2dc9616517164c2905e1137b3ec843;ef42119adc4fa8ebebfabc2dcc50a44db2d7a71ce515bd218c42ef3865230290	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DQB1	gene_sha256	2	2	78369ac90cfcc9b0f947af33a74275693a87e9cfda7b3dc0edcf48ba0ff32604;b36957f77600058a8a310638d79539a94852a07388b6abb647733afdadf74d73	78369ac90cfcc9b0f947af33a74275693a87e9cfda7b3dc0edcf48ba0ff32604;b36957f77600058a8a310638d79539a94852a07388b6abb647733afdadf74d73	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DQB1	cds_sha256	2	2	8eca11e1cbc387d4515e4bc63897990cebd76dea14df174cd8eba8947cef38b2;8f95dab73c25b349b4914e7e67926246e72522e7ef9b9b64f358eac9cc8eab9f	8eca11e1cbc387d4515e4bc63897990cebd76dea14df174cd8eba8947cef38b2;8f95dab73c25b349b4914e7e67926246e72522e7ef9b9b64f358eac9cc8eab9f	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DRB1	gene_sha256	2	2	19a2d5dd89be56b714bc3665e4376f633c30e4fbfc71ee98cfcd409419723983;d85e9b37315b7a14192cfb8e2d82cb8ab53855e6627ff80cc81996d14b80c4bf	19a2d5dd89be56b714bc3665e4376f633c30e4fbfc71ee98cfcd409419723983;d85e9b37315b7a14192cfb8e2d82cb8ab53855e6627ff80cc81996d14b80c4bf	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DRB1	cds_sha256	2	2	6275ef6c7063a7eced24212a3cd5d9d447ec1672e25865fadc68ec020dd4454a;a17743db4d4b1307ff21b592d4401cfdb4c88e2a154bd86921df47c161e985d2	6275ef6c7063a7eced24212a3cd5d9d447ec1672e25865fadc68ec020dd4454a;a17743db4d4b1307ff21b592d4401cfdb4c88e2a154bd86921df47c161e985d2	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DRB5	gene_sha256	1	1	931f7dcbb771d8aa660c8efce32eb0e2c40ad36875d4d8575e4c8f66f6a4d0f5	931f7dcbb771d8aa660c8efce32eb0e2c40ad36875d4d8575e4c8f66f6a4d0f5	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18940	HLA-DRB5	cds_sha256	1	1	2d6ca9d13e90e7d446ee80de6c4a34ff1ec59034ebfb69b804546fd5790fdff8	2d6ca9d13e90e7d446ee80de6c4a34ff1ec59034ebfb69b804546fd5790fdff8	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-A	gene_sha256	2	2	e4821f6d1187108951df2642f5e1c99b08c168aa4cebe66c811a78f3ce00552e;fc8785ae525b4296fdb0553cb7468a0393d0c8cb49675133ddaeaf9f41505f46	e4821f6d1187108951df2642f5e1c99b08c168aa4cebe66c811a78f3ce00552e;fc8785ae525b4296fdb0553cb7468a0393d0c8cb49675133ddaeaf9f41505f46	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-A	cds_sha256	2	2	3bbf94e3a6eb94ec9a012607d69d6f28e5bad45c740349deee06cebb40aebe65;3f18b5bd42e5ff8362e02166d6bb9f316de2fa9db04cda38ad12e42c7f388c55	3bbf94e3a6eb94ec9a012607d69d6f28e5bad45c740349deee06cebb40aebe65;3f18b5bd42e5ff8362e02166d6bb9f316de2fa9db04cda38ad12e42c7f388c55	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-B	gene_sha256	2	2	211618392486acd267830dfd4def9b863a3133befdcec6ffe311c9616a330f86;f74f5ad9e1e3dc8f9758a8eb651cabbaf69ebc2d6dc5f14fb17a488b99ab3ea2	211618392486acd267830dfd4def9b863a3133befdcec6ffe311c9616a330f86;f74f5ad9e1e3dc8f9758a8eb651cabbaf69ebc2d6dc5f14fb17a488b99ab3ea2	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-B	cds_sha256	2	2	8a550ca1da2eeff7ccb1678a6fa342e2872a8e90ae61363ca2267e8fc4407fad;9fe8c844f5ef999265f58fcf1d3091157aec05884ea8c6b8dd2295fad35d1733	8a550ca1da2eeff7ccb1678a6fa342e2872a8e90ae61363ca2267e8fc4407fad;9fe8c844f5ef999265f58fcf1d3091157aec05884ea8c6b8dd2295fad35d1733	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-C	gene_sha256	2	2	717d3c3e165a78749a4ff7e0f7f642f8f8c96aa47a5bb7482c98810ee0d8e3e9;76efa46ca6a4bb8deaf1e059af45d2aecc7c662538491850eaa3b574895eb7b7	717d3c3e165a78749a4ff7e0f7f642f8f8c96aa47a5bb7482c98810ee0d8e3e9;76efa46ca6a4bb8deaf1e059af45d2aecc7c662538491850eaa3b574895eb7b7	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-C	cds_sha256	2	2	12dc70eb013cdf6c9253f19a4b55b82c73877e7e1771165364736c2d90579a7d;716c15217f162d2fd1bf86f82c78947f7d581b204ab2bd20ddafe0b90018c36a	12dc70eb013cdf6c9253f19a4b55b82c73877e7e1771165364736c2d90579a7d;716c15217f162d2fd1bf86f82c78947f7d581b204ab2bd20ddafe0b90018c36a	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-DPA1	gene_sha256	2	2	009a1299e87ee587cb554ce4fde834f9dedfe204453fe4caac93ce35133baa3f;0869fdeff20acc8dff2f99f9436a637a8f67bf28a34e024871bfac0ab1ae8380	009a1299e87ee587cb554ce4fde834f9dedfe204453fe4caac93ce35133baa3f;0869fdeff20acc8dff2f99f9436a637a8f67bf28a34e024871bfac0ab1ae8380	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-DPA1	cds_sha256	2	2	56a6d8ff783454876a7dc74858b229fb861bd66049037583f43d3bc3a93b047f;cd4b4a8379521cde40d22bcc3332de97483af0ab8ed70ac983159d1805c26d9d	56a6d8ff783454876a7dc74858b229fb861bd66049037583f43d3bc3a93b047f;cd4b4a8379521cde40d22bcc3332de97483af0ab8ed70ac983159d1805c26d9d	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-DPB1	gene_sha256	2	2	35acafdb7ca0ce6229ee0b61649f4eec80b78fba3a4af32628c8d2a6cc285a80;ea306ca181258436502aaa1d9898f7708e3ce3c83144403aecdf4539a74b1a36	35acafdb7ca0ce6229ee0b61649f4eec80b78fba3a4af32628c8d2a6cc285a80;ea306ca181258436502aaa1d9898f7708e3ce3c83144403aecdf4539a74b1a36	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
