gene	split	method	n	family_clusters	accuracy	accuracy_ci_low	accuracy_ci_high	difference_vs_sampled_gene_sequence	difference_ci_low	difference_ci_high	replicates	seed	scope
HLA-A	leave_cohort_out	coding_sequence	726	367	0.7176308539944903	0.6821917808219178	0.7513736263736264	-0.03168044077134986	-0.04590027990991673	-0.017783857729138167	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
HLA-A	leave_cohort_out	coding_sequence_all_31mers	726	367	0.9655647382920111	0.9516557869680505	0.9779917469050894	0.2162534435261708	0.18549121223169385	0.248611302946593	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
HLA-A	leave_cohort_out	flanks_only	726	367	0.2327823691460055	0.201101739946411	0.26431419161298236	-0.5165289256198347	-0.5558621260850791	-0.47455120239055165	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
HLA-A	leave_cohort_out	gene_bundles_fixed_panel	726	367	0.3181818181818182	0.28257198756184404	0.355679456487425	-0.43112947658402206	-0.46944444444444444	-0.38826652795978267	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
HLA-A	leave_cohort_out	gene_content	726	367	0.08402203856749312	0.06224066390041494	0.10650069156293222	-0.6652892561983471	-0.7031501330406938	-0.6274231586536637	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
HLA-A	leave_cohort_out	gene_sequence	726	367	0.7493112947658402	0.715480599167759	0.7834912043301759	0.0	0.0	0.0	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
HLA-A	leave_family_out	coding_sequence	726	367	0.7134986225895317	0.6778231055323105	0.7476200089683712	-0.03856749311294766	-0.05413195766318257	-0.024389418792699433	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
HLA-A	leave_family_out	coding_sequence_all_31mers	726	367	0.9820936639118457	0.9722991689750693	0.9903846153846154	0.23002754820936638	0.19890260631001372	0.2636017747942434	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
HLA-A	leave_family_out	flanks_only	726	367	0.2396694214876033	0.20770157319923932	0.27260900087276585	-0.512396694214876	-0.5561648903849666	-0.46749654218533887	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
HLA-A	leave_family_out	gene_bundles_fixed_panel	726	367	0.2190082644628099	0.1882633373525122	0.24932721037301508	-0.5330578512396694	-0.5724185167690128	-0.4931129476584022	2000	20260916	Conditional on fixed predictions and panel; does not refit graph or capture unknown relatedness
