entry	hap_id	prototype	family	contig	start0	end0	strand	query_length	query_coverage	identity	mapq	eligible
GRCh38_0	GRCh38#0	WHR1	WHR1	GRCh38#0#chr6:28410701-33580488	3560474	3570746	+	10272	1.0	1.0	60	1
GRCh38_0	GRCh38#0	CYP21A1P	CYP21	GRCh38#0#chr6:28410701-33580488	3594935	3598209	+	3274	1.0	1.0	60	1
GRCh38_0	GRCh38#0	CYP21A1P	CYP21	GRCh38#0#chr6:28410701-33580488	3627669	3630944	+	3274	1.0	0.9780688394760889	0	1
GRCh38_0	GRCh38#0	CYP21A2	CYP21	GRCh38#0#chr6:28410701-33580488	3627714	3630944	+	3230	1.0	1.0	60	1
GRCh38_0	GRCh38#0	CYP21A2	CYP21	GRCh38#0#chr6:28410701-33580488	3594985	3598209	+	3230	0.9984520123839009	0.9780389730900093	0	1
GRCh38_0	GRCh38#0	TNXA	TNX	GRCh38#0#chr6:28410701-33580488	3597719	3602323	-	4604	1.0	1.0	60	1
GRCh38_0	GRCh38#0	TNXA	TNX	GRCh38#0#chr6:28410701-33580488	3630454	3635177	-	4604	1.0	0.9701524132091448	0	1
GRCh38_0	GRCh38#0	TNXB	TNX	GRCh38#0#chr6:28410701-33580488	3630452	3698638	-	68186	1.0	1.0	60	1
GRCh38_0	GRCh38#0	WHR1B	WHR1	GRCh38#0#chr6:28410701-33580488	3602569	3603087	+	518	1.0	1.0	60	1
GRCh38_0	GRCh38#0	WHR1B	WHR1	GRCh38#0#chr6:28410701-33580488	3569831	3570349	+	518	1.0	0.9942084942084942	0	1
HG00097_1	HG00097#1	WHR1	WHR1	HG00097#1#JBIRDD010000044.1:28461910-33634610	3563987	3574259	+	10272	1.0	1.0	60	1
HG00097_1	HG00097#1	CYP21A1P	CYP21	HG00097#1#JBIRDD010000044.1:28461910-33634610	3598448	3601722	+	3274	1.0	1.0	60	1
HG00097_1	HG00097#1	CYP21A1P	CYP21	HG00097#1#JBIRDD010000044.1:28461910-33634610	3631182	3634457	+	3274	1.0	0.9780688394760889	0	1
HG00097_1	HG00097#1	CYP21A2	CYP21	HG00097#1#JBIRDD010000044.1:28461910-33634610	3631227	3634457	+	3230	1.0	0.9996904024767802	60	1
HG00097_1	HG00097#1	CYP21A2	CYP21	HG00097#1#JBIRDD010000044.1:28461910-33634610	3598498	3601722	+	3230	0.9984520123839009	0.9780389730900093	0	1
HG00097_1	HG00097#1	TNXA	TNX	HG00097#1#JBIRDD010000044.1:28461910-33634610	3601232	3605836	-	4604	1.0	1.0	60	1
HG00097_1	HG00097#1	TNXA	TNX	HG00097#1#JBIRDD010000044.1:28461910-33634610	3633967	3638690	-	4604	1.0	0.970787468247248	0	1
HG00097_1	HG00097#1	TNXB	TNX	HG00097#1#JBIRDD010000044.1:28461910-33634610	3633965	3702158	-	68186	1.0	0.9998240314397161	60	1
