hap_id	donor	cohort	source_type	panel_flags	c4_annotated_copies	cyp21_like_loci	tnx_like_loci	whr1_like_loci	same_contig	span_contig	span_start0	span_end0	balanced_module_components	screen_signature	signature_id	classification	limitation
GRCh38#0	GRCh38	REF	assembly_or_reference	reference_not_independent_donor	2	2	2	2	1	GRCh38#0#chr6:28410701-33580488	3560474	3698638	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00097#1	HG00097	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00097#1#JBIRDD010000044.1:28461910-33634610	3563987	3702158	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00097#2	HG00097	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	2	2	2	2	1	HG00097#2#JBIRDE010000007.1:28438526-33548333	3508803	3646970	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00099#1	HG00099	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00099#1#JBHDWO010000057.1:28378111-33500321	3544822	3682976	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00099#2	HG00099	HPRC-Rest	assembly_or_reference		1	1	1	1	1	HG00099#2#CM087361.1:28397166-33493833	3553094	3652167	1	WHR1-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-a002f576cdda62b4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00126#1	HG00126	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00126#1#CM090112.1:28356760-33437962	3498958	3637116	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00126#2	HG00126	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00126#2#CM090124.1:28373995-33623206	3553597	3685401	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00128#1	HG00128	HPRC-Rest	assembly_or_reference		3	3	3	3	1	HG00128#1#CM090080.1:28391628-33572064	3552336	3710506	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-0c843ef37c4c8a9d	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00128#2	HG00128	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00128#2#CM090096.1:28379634-33499179	3536596	3674737	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00133#1	HG00133	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00133#1#CM090050.1:28455191-33589633	3556786	3688577	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00133#2	HG00133	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00133#2#CM090065.1:28391702-33637176	3552810	3690958	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-109f6cb2c3c027c8	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00140#1	HG00140	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00140#1#CM087111.1:28362821-33594371	3623101	3761270	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-4c34865fcf2a50f9	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00140#2	HG00140	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00140#2#CM087137.1:28381998-33511941	3552009	3683776	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00146#1	HG00146	HPRC-Rest	assembly_or_reference		1	1	1	1	1	HG00146#1#CM090015.1:28391294-33489055	3553118	3652189	1	WHR1-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-a002f576cdda62b4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00146#2	HG00146	HPRC-Rest	assembly_or_reference		1	1	1	1	1	HG00146#2#JBHIKP010000006.1:28398454-33526840	3553178	3658606	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXB-like-	RCCX-SCREEN-f3f0f2d8f59c7414	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00232#1	HG00232	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00232#1#JBHIKM010000014.1:28302939-33474178	3562598	3700761	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00232#2	HG00232	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG00232#2#JBHIKN010000040.1:28366410-33541603	3559433	3730340	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-daf9913a8b810e06	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00235#1	HG00235	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00235#1#JBIRED010000015.1:28430445-33672471	3549429	3687584	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
