hap_id	contig	start0	end0	span_bp	N_bases	other_ambiguous_bases	contig_edge_distance	span_sha256
GRCh38#0	GRCh38#0#chr6:28410701-33580488	3560474	3698638	138164	0	0	1471150	22588c00e5833dbd6b79dc72da9354ad1f6ac45a95397fafcdd001724a96e03b
HG00097#1	HG00097#1#JBIRDD010000044.1:28461910-33634610	3563987	3702158	138171	0	0	1470543	b551518d4b564098a1636c7ab7c8f5ecbf47451d9151504da01839bec0a15aa1
HG00097#2	HG00097#2#JBIRDE010000007.1:28438526-33548333	3508803	3646970	138167	0	0	1462838	b5137f1f8e3732b65546757d9fbf004948607e4524c19675c745e2b877b137ce
HG00099#1	HG00099#1#JBHDWO010000057.1:28378111-33500321	3544822	3682976	138154	0	0	1439235	ea90dbdededbe73a3e1e401daf41a4fe88ce6bc297151ca5a6ebf6acfe1c0f41
HG00099#2	HG00099#2#CM087361.1:28397166-33493833	3553094	3652167	99073	0	0	1444501	3bba95d8de0db1dc79a10271118c5050e0440b02a503b6f3cdb544ec0ca5a369
HG00126#1	HG00126#1#CM090112.1:28356760-33437962	3498958	3637116	138158	0	0	1444087	6d40c4dd0d32cdeec50679ace180b8b3ef84f35384b026328e849cf271ef731a
HG00126#2	HG00126#2#CM090124.1:28373995-33623206	3553597	3685401	131804	0	0	1563811	8315b08e94e340b036bd3aad0d4ba878d23a071a4036885e2fc386c0865346e6
HG00128#1	HG00128#1#CM090080.1:28391628-33572064	3552336	3710506	158170	0	0	1469931	07d2cba688c9d0acab008c5bbd2c6d3a525c0125e70e1a482315f2b308c4505d
HG00128#2	HG00128#2#CM090096.1:28379634-33499179	3536596	3674737	138141	0	0	1444809	22a3e5eb597c9de17b33a82536742b2ecfb14a82c6abf5d2d0219c01bb3dae4b
HG00133#1	HG00133#1#CM090050.1:28455191-33589633	3556786	3688577	131791	0	0	1445866	73ab6ed8cb020558733a7ed0edacb724a6b4d2b673079f9c4b9a00eec46a8e76
HG00133#2	HG00133#2#CM090065.1:28391702-33637176	3552810	3690958	138148	0	0	1554517	1e56e02e72d3062ac72cbf4ea92e8a62311052a8facb2fc64b3fd4a8aaf28359
HG00140#1	HG00140#1#CM087111.1:28362821-33594371	3623101	3761270	138169	0	0	1470281	8f5e6180146124f12c2d313dc85fd4e488ee4093c57485e9333c24edbc6c68fd
HG00140#2	HG00140#2#CM087137.1:28381998-33511941	3552009	3683776	131767	0	0	1446168	7cc3dcd36037e8fcb589c135843af2fb0aa0a4271019629e38292abd5e13b3f1
HG00146#1	HG00146#1#CM090015.1:28391294-33489055	3553118	3652189	99071	0	0	1445573	ab9c5fb47d7e4224765a4d608aedd9a2d47d8b09a9d7e3e8a651ebef29078cd6
